t, ax, ay, az, da
544, 25130, -630, 17325, 41168.5
545, 26132, -599, 17321, 42339.5
546, 26766, -617, 17293, 43148.0
547, 27609, -569, 17298, 43890.0
548, 28767, -468, 17371, 45004.0
549, 29508, -425, 17421, 46087.0
550, 29857, -415, 17388, 46667.0
551, 30518, -335, 17374, 47193.5
552, 31254, -208, 17418, 48010.5
553, 31591, -103, 17425, 48688.5
554, 31990, -6, 17409, 49153.0
555, 32678, 119, 17459, 49824.5
556, 32764, 268, 17520, 50404.0
557, 32764, 466, 17540, 50661.0
558, 32764, 738, 17560, 50916.0
559, 32764, 1091, 17580, 51248.5
560, 32764, 1452, 17549, 51600.0
561, 32764, 1776, 17502, 51903.5
562, 32764, 2138, 17508, 52226.0
563, 32764, 2498, 17512, 52592.0
564, 32764, 2832, 17459, 52914.5
565, 32764, 3154, 17438, 53205.5
566, 32764, 3353, 17452, 53462.5
567, 32167, 3433, 17388, 53278.5
568, 31350, 3490, 17308, 52568.0
569, 30796, 3489, 17302, 51867.5
570, 29848, 3376, 17286, 51048.5
571, 29848, 3376, 17286, 50510.0
572, 27958, 3026, 17229, 49361.5
573, 27958, 3026, 17229, 48213.0
574, 25424, 2332, 17100, 46534.5
575, 25424, 2332, 17100, 44856.0
576, 23458, 1769, 17130, 43606.5
577, 23458, 1769, 17130, 42357.0
578, 20579, 1037, 17050, 40511.5
579, 20579, 1037, 17050, 38666.0
580, 17973, 592, 17051, 37141.0
581, 17973, 592, 17051, 35616.0
582, 16457, 387, 17000, 34730.0
583, 14998, 251, 16950, 33021.5
584, 13538, 100, 16895, 31366.0
585, 11972, -62, 16824, 29633.5
586, 10393, -194, 16748, 27840.5
587, 8924, -286, 16665, 26125.0
588, 7580, -349, 16596, 24565.0
589, 6130, -429, 16554, 23041.0
590, 4473, -496, 16512, 21372.0
591, 2905, -527, 16468, 19667.5
592, 1491, -561, 16424, 18100.0
593, -27, -608, 16364, 16541.5
594, -1607, -648, 16306, 14890.0
595, -2986, -685, 16267, 13323.5
596, -4283, -700, 16240, 11926.5
597, -5779, -696, 16204, 10493.0
598, -7332, -693, 16157, 8930.5
599, -8708, -658, 16118, 7442.0
600, -10090, -650, 16062, 6037.0
601, -11626, -719, 15974, 4475.5
602, -13002, -722, 15914, 2909.5
603, -14180, -656, 15922, 1638.0
604, -15529, -651, 15949, 427.5
605, -16987, -692, 15920, -995.0
606, -18290, -738, 15835, -2476.0
607, -19592, -781, 15765, -3900.5
608, -20940, -771, 15728, -5295.5
609, -21999, -764, 15704, -6521.0
610, -23030, -852, 15673, -7634.0
611, -24504, -983, 15618, -9039.0
612, -25884, -1056, 15579, -10615.0
613, -26695, -1049, 15587, -11759.0
614, -26695, -1049, 15587, -12157.0
615, -28659, -1208, 15492, -13266.0
616, -28659, -1208, 15492, -14375.0
617, -30031, -1214, 15518, -15051.0
618, -30031, -1214, 15518, -15727.0
619, -31711, -1288, 15472, -16627.0
620, -31711, -1288, 15472, -17527.0
621, -32541, -1342, 15454, -17978.0
622, -32541, -1342, 15454, -18429.0
623, -32764, -1358, 15475, -18538.0
624, -32764, -1358, 15475, -18647.0
625, -32764, -1332, 15480, -18631.5
626, -32764, -1288, 15504, -18582.0
627, -32764, -1288, 15504, -18548.0
628, -32764, -1358, 15566, -18552.0
629, -32764, -1358, 15566, -18556.0
630, -32764, -1333, 15577, -18538.0
631, -32764, -1333, 15577, -18520.0
632, -32568, -1247, 15590, -18372.5
633, -32568, -1247, 15590, -18225.0
634, -31288, -1054, 15675, -17446.0
635, -31288, -1054, 15675, -16667.0
636, -30438, -1065, 15733, -16218.5
637, -29666, -1018, 15760, -15347.0
638, -29108, -961, 15742, -14625.5
639, -28439, -915, 15722, -13979.5
640, -27364, -805, 15758, -13021.5
641, -26145, -674, 15838, -11696.0
642, -24882, -543, 15912, -10247.0
643, -23595, -448, 15975, -8790.5
644, -22735, -439, 15992, -7625.0
645, -22177, -393, 15926, -6913.0
646, -20927, -286, 15920, -5968.5
647, -18813, -166, 16068, -4102.0
648, -17002, -85, 16210, -1894.0
649, -15959, -113, 16232, -358.5
650, -14889, -122, 16190, 669.5
651, -13313, -102, 16175, 1969.5
652, -11469, -28, 16226, 3744.5
653, -9754, 145, 16301, 5710.5
654, -8210, 96, 16368, 7473.0
655, -6626, -138, 16436, 8963.0
656, -4924, -234, 16520, 10517.0
657, -3246, -298, 16612, 12215.0
658, -1766, -402, 16674, 13787.0
659, -358, -477, 16681, 15176.0
660, 1166, -558, 16668, 16561.0
661, 2796, -630, 16692, 18067.0
662, 4412, -675, 16749, 19672.0
663, 5886, -728, 16785, 21214.5
664, 7269, -802, 16804, 22607.0
665, 8833, -862, 16853, 24047.5
666, 10572, -880, 16920, 25718.0
667, 12101, -893, 16968, 27394.0
668, 13324, -893, 16968, 28787.5
669, 14625, -932, 17014, 30053.0
670, 14625, -932, 17014, 30707.0
671, 17702, -856, 17119, 32336.0
672, 17702, -856, 17119, 33965.0
