ax_fft,ax_freq,ay_fft,ay_freq,az_fft,az_freq
8043.233483182247,480.0,3863.3905641610677,480.0,1599.4776925842896,480.0
3019.085334047683,482.0,2084.065579577367,482.0,1042.6451367522247,482.0
2494.0619591954023,484.0,1495.827238196882,484.0,4862.6154357356145,484.0
12469.482739927753,486.0,3194.7766659465788,486.0,3499.990388827533,486.0
6160.35204218184,488.0,3653.055819800602,488.0,2142.8150364278617,488.0
14950.901395301806,490.0,2226.597764646321,490.0,2882.9041928582956,490.0
11206.452390623017,492.0,996.8741413393197,492.0,2778.095974139316,492.0
7280.724904929572,494.0,1256.4561899106286,494.0,524.4593012961185,494.0
17670.601466089232,496.0,966.9234143510416,496.0,1670.8415390130729,496.0
15342.50025222688,498.0,1233.0947598727078,498.0,1527.1327860368867,498.0
13385.827659104958,500.0,1638.7260736491373,500.0,1136.7916509686374,500.0
3880.9978886663152,502.0,2224.4882728071825,502.0,2331.3261849932856,502.0
9468.821092055245,504.0,2969.4168394021362,504.0,3264.3041813411432,504.0
4889.081260207995,506.0,1383.9401943222088,506.0,1701.6148853347454,506.0
10091.549988759742,508.0,2162.966957929704,508.0,2421.221278430845,508.0
2959.8934631260126,510.0,2161.997678007223,510.0,1958.2516264612416,510.0
4513.403077496334,512.0,2255.806284468992,512.0,688.4202662555294,512.0
8167.262075354025,514.0,616.964461633931,514.0,1164.9597475728663,514.0
3205.967921147645,516.0,852.5832227145256,516.0,1508.611325533984,516.0
2473.852463430912,518.0,1709.753816524712,518.0,703.7508668955452,518.0
12187.497659070561,520.0,1497.4152771970778,520.0,1121.0168152568106,520.0
19859.342050405634,522.0,2444.838027250147,522.0,1207.3417277587746,522.0
41183.935380602685,524.0,1703.8858719373434,524.0,587.5131673248648,524.0
11517.413597018,526.0,707.6847839557639,526.0,403.2698930595551,526.0
3544.9922459425948,528.0,1027.1602545639773,528.0,1158.5443954726625,528.0
1108.9326910175525,530.0,2571.406617822449,530.0,671.3021713004414,530.0
5306.524814373922,532.0,1212.0376677908034,532.0,1519.2723530498524,532.0
1428.9643093568773,534.0,563.8292955494911,534.0,1363.2436601352613,534.0
7863.4021353788985,536.0,1240.5272596697737,536.0,2401.579000725751,536.0
5774.887024601632,538.0,2281.7499234216393,538.0,1056.2006980006156,538.0
6308.115843643464,540.0,1572.4141567886847,540.0,611.4712722982373,540.0
2787.6719733428686,542.0,1153.465022055974,542.0,1856.7626644286704,542.0
6704.430071287997,544.0,883.7715213100486,544.0,1105.234540151291,544.0
54604.38885605023,546.0,2923.170193354289,546.0,1880.784991383148,546.0
84021.0613167767,548.0,5623.467735617612,548.0,4773.467534186629,548.0
31683.016969336953,550.0,1511.2038728176112,550.0,2607.5115427668547,550.0
3871.672286920175,552.0,3482.9808725919524,552.0,2189.4970427039625,552.0
7830.539336980537,554.0,2076.2626734915625,554.0,1668.8776096861882,554.0
25692.14995049098,556.0,965.6957405551509,556.0,1485.5474263007693,556.0
37736.243584588636,558.0,1137.3075674221227,558.0,39.47440965854797,558.0
70426.85411401435,560.0,2209.2215407684794,560.0,1836.385712518599,560.0
43628.56971987481,562.0,784.1620292377163,562.0,2156.6997613296917,562.0
3440.096538140069,564.0,832.6826076283528,564.0,995.0139184149136,564.0
8004.877729912176,566.0,1326.584587998959,566.0,982.8515177982182,566.0
9225.843772605991,568.0,471.2008354429222,568.0,746.8276321503491,568.0
14538.93812854627,570.0,1465.5115883741369,570.0,412.1339781648789,570.0
8036.114990564347,572.0,2674.1458290351316,572.0,1322.8167585090325,572.0
7355.793217206555,574.0,3070.496548853404,574.0,1789.9274136661293,574.0
9990.321156719157,576.0,1311.2329780529678,576.0,1986.1966974919942,576.0
2407.0277135834667,578.0,2799.6347295455344,578.0,2412.321935241461,578.0
1925.724305739975,580.0,1617.5269419563515,580.0,2596.9586446914677,580.0
1416.4336796283976,582.0,642.2993770394067,582.0,1329.502206881972,582.0
7333.728131634959,584.0,1827.2508455617592,584.0,557.2503819593416,584.0
6219.127262992353,586.0,3063.164670859596,586.0,551.2751909720894,586.0
17134.448508052094,588.0,1870.1813780217658,588.0,1827.6448742096359,588.0
20131.455223716883,590.0,552.7990042828008,590.0,1394.1567328613278,590.0
12688.200334035142,592.0,791.5360598230445,592.0,1196.213861227878,592.0
4142.576799616318,594.0,1742.6053359003265,594.0,1697.9894149122656,594.0
11722.33334470424,596.0,8296.848017612278,596.0,3243.6399626992115,596.0
