ax,ay,az
29857,-415,17388
30518,-335,17374
31254,-208,17418
31591,-103,17425
31990,-6,17409
32678,119,17459
32764,268,17520
32764,466,17540
32764,738,17560
32764,1091,17580
32764,1452,17549
32764,1776,17502
32764,2138,17508
32764,2498,17512
32764,2832,17459
32764,3154,17438
32764,3353,17452
32167,3433,17388
31350,3490,17308
30796,3489,17302
29848,3376,17286
29848,3376,17286
27958,3026,17229
27958,3026,17229
25424,2332,17100
25424,2332,17100
23458,1769,17130
23458,1769,17130
20579,1037,17050
20579,1037,17050
17973,592,17051
17973,592,17051
16457,387,17000
14998,251,16950
13538,100,16895
11972,-62,16824
10393,-194,16748
8924,-286,16665
7580,-349,16596
6130,-429,16554
4473,-496,16512
2905,-527,16468
1491,-561,16424
-27,-608,16364
-1607,-648,16306
-2986,-685,16267
-4283,-700,16240
-5779,-696,16204
-7332,-693,16157
-8708,-658,16118
-10090,-650,16062
-11626,-719,15974
-13002,-722,15914
-14180,-656,15922
-15529,-651,15949
-16987,-692,15920
-18290,-738,15835
-19592,-781,15765
-20940,-771,15728
-21999,-764,15704
-23030,-852,15673
-24504,-983,15618
-25884,-1056,15579
-26695,-1049,15587
-26695,-1049,15587
-28659,-1208,15492
-28659,-1208,15492
-30031,-1214,15518
-30031,-1214,15518
-31711,-1288,15472
-31711,-1288,15472
-32541,-1342,15454
-32541,-1342,15454
-32764,-1358,15475
-32764,-1358,15475
-32764,-1332,15480
-32764,-1288,15504
-32764,-1288,15504
-32764,-1358,15566
-32764,-1358,15566
-32764,-1333,15577
-32764,-1333,15577
-32568,-1247,15590
-32568,-1247,15590
-31288,-1054,15675
-31288,-1054,15675
-30438,-1065,15733
-29666,-1018,15760
-29108,-961,15742
-28439,-915,15722
-27364,-805,15758
-26145,-674,15838
-24882,-543,15912
-23595,-448,15975
-22735,-439,15992
-22177,-393,15926
-20927,-286,15920
-18813,-166,16068
-17002,-85,16210
-15959,-113,16232
-14889,-122,16190
-13313,-102,16175
-11469,-28,16226
-9754,145,16301
-8210,96,16368
-6626,-138,16436
-4924,-234,16520
-3246,-298,16612
-1766,-402,16674
-358,-477,16681
1166,-558,16668
2796,-630,16692
4412,-675,16749
5886,-728,16785
